reviews_rating,reviews_text,reviews_title,reviews_username
4,"The shuttle to the station wasn't always as available as implied, however it was quite an easy walk. If you have a UK mobile calling for the shuttle for a return trip from the station could be a problem but there were pay phones available. When we first went to our allocated room we were disappointed to have a brick wall just a few feet from the window. Upon request we were immediately moved to another room. The two minor problems we had with the room (safe and iron) were rectified quickly. In view of other comments we found the breakfast to be really disappointing and eventually decided to eat elsewhere. A car for a week is cheaper than a taxi to and from Dulles airport.",Car a benefit in this location,syanne
3,"Hotel confortavel, porem com algumas instalacoes antigas. No lobby e corredores muito bem arrumado, porem ao entrar no quarto sentimos um cheiro desagradavel. Me pareceu filtro do ar condicionado sujo. O banheiro estava limpo, assim como as toalhas e lencois. Em fim, para a regiao de washington, bom custo beneficio.",Custo beneficio bom,Luiz
1,"I stayed here with my family and the facility is outdated, the entrance smelled horrible. They didn't have an HDMI port for the tv, no extra comforters, the beds were a little uncomfortable",Had potential,A verified traveler
1,Please look at Google reviews for TRUE REVIEW!,Worst hotel,SUUZUS
2,"The Hotel itself is nice and fairly clean. However, booked the hotel months ago and when we arrived, which was late and after 12am, we were told that our twin room was not available, they had sold it, and we could have a double room with 1 bed. They were going to put up a portable bed, but took them a while to find it. We were offered to go to other hotel, but they were fully booked too. The hotel changed the room the following night, but no compensation, apart from a free drink which we had to fight for as well, were offered.",Disappointed with the Service,Mr Hammer
4,"Ideale per visitare Washington, la zona e gradevole e ci sono dei ristorantini, nonche fast food, per cenare di sera. L'hotel e dotato di tutti i confort, wifi, frigo in camera, noi lo abbiamo caricato di acqua presa in un supermercato vicino. Una bella sorpresa!!!",Ideale per visitare Washington!,A verified traveler
4,I really enjoyed myself. Wish they offered more discounts,Child free night,A verified traveler
4,This is the 2nd time we stay at this hotel. Everyone is friendly and the rooms are very comfortable. The shuttle driver is very nice and he's always on time. Great breakfast and service. We would definitely stay there everytime we would visit DC.,Nice hotel at. a great price.,Laura
4,This is a hotel with good rooms and nice staff. The location relative to the DC downtown is not the best but the hotel offers very good shuttle service to a metro station. I highly recommend this hotel.,good rooms with affordable price,A verified traveler
3,"This hotel is exceptionally priced for what it offers (e.g. complimentary breakfast, well equiped fitness center, wireless internet), but the price is due to its terrible location and accessibility. Very friendly staff too, but getting there safely is the challenge.",Mixed Results,A verified traveler
4,Stayed here overnight to go to fedex field. Very close to metro and the hotel will take you to and pi k you up from the metro station. Very friendly and helpful staff. Rooms nice and clean. All we needed or our two night stay. Area directly surrounding hotel a little hard to navigate and not a lot of choices. Couple of nice eateries within 5 min walk.,very nice....great staff!,A verified traveler
5,"Staff was very friendly and helpful. Hotel was extremely clean and well laid out. Room was very spacious. Could use a little more lighting in the room. In a nice area and very close to University of Maryland, College Park.",Nice Find!,John
4,"Very good location, close to metro and a supermarket. Lots of restaurants surrounding. Free breakfast has plenty of hot foods. Free wifi is quite slow. Overall the hotel is good, price also good. I will definitely recommend this hotel to my friends.",Good location,Christine
4,"Muy agradable, excelente atencion del senor SAM, conductor del SHUTTLE",TOTALMENTE RECOMENDADO,ROCIO
2,I stayed at this hotel for 2 nights. The room was small and had a smell that cannot be described. The breakfast that is included is not the greatest.,Hot smell,A verified traveler
2,I spent two nights at the Metro Points Hotel. The Hotel Guests was somewhat in some of term is seemed to be helpful. The reasons I took points off because Breakfast Foods were awful. The chef used pre-packages on most of the buffet foods. The hospitality of the service was very negative. 10 charged for using microwaves is ridiculous! There is no another way to heating up my foods from take-out place. Not the best family hotel to book it. Probably more for last minute business trip. .,"Business Hotel, Not for family-environment hotel",Jose
4,"Hotel was in great and new condition, staff was very friendly and helpful. Breakfast was great too!",Friendly hotel,A verified traveler
4,Perfect for getting to the game.,Fed Ex Field,A verified traveler
3,"Como otras veces en este hotel. Tranquila y comoda, a pesar de la lejania y largo viaje en metro. Caminar desde la ultima estacion de metro hasta el hotel, se hace agradable y cerca de alli hay lugares para comer. Si no te gusta caminar, tienen shuttle bus y vas y vienes en el. Diversidad de opciones de comida. El precio es una buena razon para esto. Es barato a pesar de la temporada.","Comoda. tranquila,",A verified traveler
3,"We stayed here one night due to travel for an Eagles game. For the money,not a bad deal.",Go Eagles,Marko
3,"The housekeepers were so loud that when taking a nap with my do not disturb sign out, they were yelling outside often door so loudly that I heard them over the hum of the heater and tv on low that I had on to ironically drown out noise. When I called to complain that the housekeepers were yelling Down the hall at each other, the staff just laughed and said sorry. Also- upon check out- there were there cop cars at the hotel and one cop at the front desk discussing an incident. Didn't make me feel safe.",Ok stay,A verified traveler
4,We used hotel's free shuttle service to the Metro station daily during our vacation. Staff were very friendly and helpful. Room was comfortable. We noticed two negatives in the room: the paint in bathroom was pealing badly and the tub did not drain well the first day. We reported the drain issue and they fixed it while we were away the next day. We had stayed at this hotel 3 years ago and we will likely stay here again in the future.,Convenient and good value,Mary
1,Expedia and I the Purchase of Service Not Rendered and Paid For..hummm What do you Think I bought INSURANCE from EXPEDIA what a JOKE - YOU GUYS ARE FUNNY NOT SO MUCH,The Staff Refused to Honor the Requests for refund,A verified traveler
3,"bonne impression en general, personnel courtois et polis.Point a ameliorer: eclairage des chambres qui est faible la nuit.",Lits confortables,A verified traveler
3,"part of the hotel look great and updated, but the room needed a major renovation. carpet was dirty and wrinkled (could trip on it), and the bathroom was dingy: white enamel broken off on bathtub, toilet paper holder coming off the wall, dirty shower curtain, etc. but the bed was relatively comfy and the hotel quiet when we stayed there. complimentary shuttle to metro station was very convenient. staff was not very friendly and we could not order anything at the bar because there wasn't anyone there (bartender at some point was eating nearby in the lobby but did not acknowledge us and at other times the bar was empty).",convenient to metro but in need of update,A verified traveler
4,"Hotel is very nice, but I waited an hour at the metro station for the hotel shuttle bus. I called the hotel twice to ascertain the shuttle's whereabouts, but the shuttle's location remained a mystery. Perhaps it was someone's dinner break I would have walked, it isn't that far, but this was shortly after the big snow storm.",Shuttle Bus from Metro is a Unicorn,A verified traveler
3,The experience was ok. It was nice hotel . Staff was pleasant.,nice to sleep in,A verified traveler
4,Rozsadny Hotel za bardzo dobra cene.,Rozsadny Hotel za bardzo dobra cene.,A verified traveler
4,Tim was great.location is very convenient. Staff was very friendly. Breakfast was very basic.,"convenient location, comfortable room",A verified traveler
4,So much better than we expected for the price. The desk service was exceptionaly nice. I agree the mattress was a bit soft and we needed a reading light over the chair. Those aren't complaints just comments.Thank you for making our stay so enjoyable.,best service,Roger Judy
4,"The hotel was good. Clean rooms and friendly staff, unfortunately, there is nothing to do in the immediate area. It is close to the Metro station but other than that, there were not a lot of choices within walking distance for shopping, restaurants, etc.","Good hotel, nothing nearby",A verified traveler
5,"Everyone was very friendly. The breakfast is outstanding! This is where our family always stays whenever we are in the Washington, D. C. area.",Great hotel close to the Washington Beltway,A verified traveler
4,"Convient to highway , food, Resturants and fed X field",Football,Neville
5,The facility is nice and has a great lobby and bar for happy hour events. Enjoyed my stay which was nice and quiet. The renovated rooms were very comfortable.,Quick getaway,A verified traveler
4,"Most probably I would give it a excellent review if it was not for the service obtained on Saturday. Sam (shuttle driver), Ester, Ana (Bar attendants) and front desk personnel for Thursday and Friday gave us a 5 star service. Everything went down to the drain Saturday afternoon had to wait for over an hour at the train station driver and front desk attendant blamed each other. I put it behind and most definitely I would stay again good breakfast, good service overall, location, rooms are kept clean.",Good experience overall,OJ
3,"Given the location of the hotel, it wasn't a bad stay. I know the name on the outside has changed a few times but the interior hasn't changed much at all.. The over night desk clerk mumbles when he speaks making my late night check-in that much more agonising. The maintenance housekeeping crew were overly polite and courteous, loved it. The front desk clerk and manager both over night and day shifts need to take a page from their fellow employees book on manners.","Metro Points in New Carrollton, MD",A verified traveler
2,"When I looked at the pictures , I thought that I have an excellent deal at hand but it turned out to be a total let down ...This hotel is not even worth comparing to a MOTEL6 or SUPER8 . It is run down and shabby . Will not stay here ever.",Pictures do not tell the truth,A verified traveler
5,Only complaint was the room got very hot during the night because the thermostat was not working properly. Have stayed at this location before and did not have any problem with heating or cooling.,D. C. area hotel,A verified traveler
4,I enjoyed it. Breakfast is great although you did not have oatmeal that morning which I always love so that was not pleasant for me for breakfast. Please always have oatmeal.,Nice hotel. Right by the belt way. Close to D.C.,A verified traveler
3,"This hotel was a good value. The rooms are clean and comfortable and mine was newly upgraded. The hotel staff was courteous and helpful. The only real issue is the noise...constant hammering that seemed as though it was in the room next to me. Also, the hot water in my bathroom did not function, so I ended up taking a cold shower. Needless to say, the noise and lack of hot water made for a disappointing stay from the standpoint of comfort. Still, a good value with easy parking and not too far from either DC or Baltimore if you are visiting.","Nice Remodeling Work, but Noisy",Franklin
4,"The bathtub had scratches on it that shows black rust. The breakfast ends too early (9:00 a.m.), so if you are coming from a wedding party at 2:30 a.m. you can't sleep enough because you have to rush to have b-fast, and if you have kids you are for sure to miss it! Yet, rooms are spacious, TV is new, internet connection is good, and so is the location. Except from B-fast time and tub condition, I liked it.",No consideration for late arrivals,A verified traveler
2,"The bed was broken , there was no hot water nd when I Asked for another room they said no",I was not happy with my room at all,Patrice
3,"Booked through online site and they got my name wrong over the phone but that wasn't the hotels fault. It wasn't the worst place I have stayed at all. A few problems though. The internet did not work in the room or the lobby on any of our devices, ipod, ipad, laptop, nothing. Did use the computer in the business center. They advertise a breakfast buffet in the lounge but it wasn't represented well with that title. Consisted of eggs, waffle (premade), cereal, toast so I was a little disappointed. The shuttle picked us up at the Metro 15 minutes late after I called twice. Otherwise, the staff was friendly and the room was clean.",Four day stay,A verified traveler
1,very lousy front desk,unfriendly front desk ruins everything,A verified traveler
5,Es un excelente Hotel. Las habitaciones son muy bonitas y el desayuno es muy bueno. Desde la estacion del metro en New Carrollton (a menos de 4 minutos del hotel en carro) nos tardamos menos de 25 minutos en llegar a la estacion del metro Smithsonian. Recomendado 100!!!!n,Recomendado 100,Julio Cesar
1,I was very uncomfortable after seeing ants in my room and the tub acrylic was chipping away... This stay was not sanitary!!! We moved to another room but my comfort level was gone!!! I just felt dirty!!! I expected a better stay for the price I paid.,Nasty Ants!!!,A verified traveler
4,"Served it's purpose... room is clean and comfortable, bathroom has very limited spaces..",Convienent access to interstate..,A verified traveler
4,"My boyfriend and I stayed at this hotel for one night for the Cherry Blossom Festival in Washington this past weekend. It was more than adequate for being a place to spend the night. We liked that the room and bathroom were spacious. The location was ideal for someone who drove to the area. I believe the hotel also has a shuttle to the nearby metro station. It is a 15-20 minute drive to Washington in regular, non-congested traffic. The breakfast buffet was standard but I would really expect much for the price we paid. I like that they have their own parking lot and they are just down the street from numerous fast food establishments and a supermarket. The gentleman at the reception desk was a bit short with us and another couple who were checking in before is but nothing that is worth complaining about. Overall I would recommend this hotel as it is a good bargain and is close to highway access and public transportation.",Great deal,Laura
5,Location is great for all budget shoppers and easy access to interstates highway. Breakfast was awesome!!,Just one dreamless sleep night!,A verified traveler
2,"There was a free breakfast buffet, but the hotel did not let us know the hours of it. When we showed up at 9:32, they said it closed at 9:30. We reserved a king sized bed and got a room with two doubles. They told us we were not guaranteed the bed choice that we wanted. There is no restaurant, lounge or bar as it says on the website. The shuttle was good to use and runs pretty much every 30 minutes up to 4:30 ish. If you need to return to the hotel after 10:10 when the shuttle stops, take a taxi. The cost was 7.50 and it was worth it. The nearest metro station is too far from D.C. Next time I will stay at the Virginian Suites in Arlington again.",Four Points,A verified traveler
4,"20 Extra charge for King bed, 10 charge for a microwave in the room, but couldn't put it in because maintenance wasn't on site. The room was decent and clean. The staff was friendly enough. Another guest with body odor permeated the lobby with her essence and it was quickly addressed. Location is very convenient and the price was reasonable. We missed breakfast, so I cannot provide feedback on that.",Quick getaway away from the kids,CaliGirlnot
5,L'hotel e a 20 minuti da Washington ma si raggiunge facilmente grazie ad una superstrada e il prezzo e molto conveniente rispetto alle grandi catene presenti in citta.,Ottima alternativa per visitare Washington,Emanuela
5,"I needed a clean comfortable room at the last minute due to my being called back to work at the last minute, and The Metro Points fit the bill. Special Thanks to Lavere (front desk) for his professionalism kindness.",Great Staff Good Price,Barry
3,"Heater was blowing cool air in morning. Some things in the room seemed shoddy or unfinished like sprinkler, wall around the light switch, and when you first enter one of the lightswitches that I believe was meant to turn on the lamps did nothing. Also we were only there one nite but in that time our room keys both got deactivated. We were very pleased with complimentary breakfast offerings except that there was cream cheese but no bagels and the type of milks were not labeled.","Convenient for the game, a few things to improve",A verified traveler
3,"We paid for a 150.00 room but put in a room which is 75.00. I checked the rooms because my sister stayed in the 75.00 room which is exactly the same as ours. We were ripped off. The two beds in room are very small, my husband and I couldn't sleep on the same bed. One of us slept on the couch which was uncomfortable too. No more!!!",Ripped Off on ROOM PRICE,lydia
1,"The best part of the stay at Metro Points besides check out was the staff. I commend them for working in such deplorable conditions. I was extremely disappointed. From the outside, peering through the window, the hotel is beautiful. When I entered I was met by stained carpet and dirty walls. Although check in was easy (Kudos to Mr. Davis) who worked hard to accommodate me. However, he could not fix the peeling paint, the spotty drapes, the snowy picture, the no wifi the entire time I was there, the sink with no running water and the tub with no knobs. This hotel has the potential to be very good. Management cannot be oblivious to all the defects. Management needs to get it together. It's the little things that keep customers or drive them away. I drove away with no intention of ever returning.",Don't be fooled,Mrs. Ryce
5,Fanatic,unforgettable,Ruth
3,"Pros: - Clean and comfortable - Good housekeeping - Fast and free Wi-Fi - Great complementary English-style breakfast with lots of hot food such as sausages, pancakes, eggs, English muffins, etc. - Next door to a supermarket Cons: - Commute to Washington by car can be a nightmare during morning rush hours (took more than an hour to get there even though it was only about 20km) - Location a little ghetto with non-guests hanging around the hotel front door and lobby","Good hotel, but not so crazy about the area",A verified traveler
3,"The suite was nice and roomy, however the carpet in the whole hotel was dirty but staff was cleaning the hall carpet before my departure. The shower door was off track and the sink in the kitchen stopped up but staff remedied the problem. The hotel was in a very good location and is accessible to metro and the highway.","Metro Point of Washington in Wash., DC area",A verified traveler
3,The stay was pleasant but some of the staff did not seem to be knowledgable about the hotel's policies and billing. Only one person was really helpful.,close to my event and rates were very reasonable.,A verified traveler
4,"Es un buen hotel. Ubicado muy cerca del metro y con servicio de transporte a la estacion gratis cada 30 minutos. El personal muy amable, en especial DANNY Y SAN, quienes son la salvacion de los que solo hablamos espanol. Las habitaciones muy buenas, aunque no lujosas, pero si por encima de las basicas de otros hoteles. al centro son 10 estaciones, no hay pierde pues es la ultima parada de una linea corta. aprox. 40 minutos. el desayuno bueno. En general volveria sin pensarlo y lo recomiendo. No te hacen ningun cargo extra.Si llegas despues de las 10:30 puedes tomar taxi muy facilmente, siempre hay 10 o 20 afuera y te cobran aprox. 10 dolares. A diferencia de otros hoteles un poco mas lujosos se caracterizan por ser muy amables y comprensivos. al frente hay toda clase de restaurantes, supermercados y algunos comercios",todo bien,CARLOS GABRIEL
4,"El hotel en general de muy buena calidad y a buen precio. Solo que un poco alejado del centro y lugares de interes, pero muy recomendable para caminar y conocer un poco mas de la ciudad.",Comodo pero lejos del centro,A verified traveler
4,"Hotel looked very nice and modern, rooms are very comfortable and have refrigerators which was great for us to store drinks. Room was very clean and the ammenities were plenty. Only thing is that rooms have LCD's but no HDTV cable, so quality of image was not what it's supposed to be. Check-in/out was very prompt and efficient. Will definitely stay at this hotel again if in DC area.",Great Hotel,A verified traveler
3,"The main lobby and dining areas were clean. The room was musty and damp. The floor on one side of the bed was damp and sticky. Breakfast was alright - no healthy options, but it was fine.",Everything OK,A verified traveler
4,"My extended weekend stay at this hotel was very enjoyable. I have no complaints. I would strongly advise, though, that guests make use of the shuttle service to and from the subway station. However, the immediate environs of the hotel are quite pleasing. There is an international supermarket in the plaza across the street. Quite a convenience.","A good deal, not to be passed up.",Rene
5,Check in was speedy. Everything was clean. Room was comfy. The breakfast was a little average but overall everything was fine.,Great stay,A verified traveler
2,"Wants to charge extra for everything. Micro wave, Refrigirator and glass of water. Have to wait 15 minutes to get hot water. Also another 15 minutes to bath tub water to drain. We book all most 25 rooms all the same story with bath tub.",Not good as expected,Jay
4,This hotel has a very good relation betwen price and value.,good choice!,A verified traveler
5,There for a week and every day every staff member was very helpfull. They have a shuttle to the metro station and the drivers were very nice. They even gave us their cell to call them so we won't have to wait. The cleaning crew was always helful and friendy. The room was super and the beds were really good. Breakfast was good and you have the convenience of a 7eleven across the street to pack some water and snacks for the day. For shure we'll be back to this great hotel. THANK YOU!,Great hotel,A verified traveler
4,"I like this place, even though it is a 30-minute commute to my work location, but the shuttle to Metro is convenient. This time one of the elevators was out of service with a note that it would be fixed the Monday of my arrival, but it was still out of commission when I left. The only drawback is the breakfast. One day, they added some sausage patties to the steamer table and it was actually cold--not even room temperature. It should have been heated first, because it appeared to be leftover from another day (and not just 1 day ago because the day before they had links, not patties). The last day, there wasn't even really meat. They had eggs, potatoes and grits along with corned beef hash, which is more of a potato entree--not a meat entree. For someone like myself, who doesn't eat potatoes, there was essentially no meat. Hopefully in the future, there will be plain meat--either bacon or sausage. I would not hesitate to come back here in the future.","Nice place, but breakfast is so-so.",Tony
5,We were a famaily of 4. Great hotel. The lobby and the room were top class. Almost like a luxury hotel. Breakfast was included in the price. Excellent breakfast. Very happy to choose this one. Will come back next time.,Great location and excellent hotel,Rahul
4,"The room looked like it was recently redone, it and the lobby were very attractive. But be aware that the closet rod (really a cabinet) was one foot long and there was not a single drawer for clothes. This would be a nice, reasonably priced room for one night. Shuttle service was great, breakfast hot but unremarkable.","Clean, attractive, friendly and small",Judy
5,"Excelente hotel buena atencion y la ubicacion buena , lo unico que falta para que sea completo el hotel es que tenga una nevera ejecutiva. Del resto excelente .",Estadia en Washington,Gaby
3,easy to washington,not bad,A verified traveler
4,"Fair price for location...clean, new looking. I'll do it again...great free breakfast",Visitor to DC first time,Larry
4,"I was there for a week and my stay was very comfortable. The sheets are very soft and clean, the pillows were really plushie and the room was very clean. As a woman traveling alone, I felt safe inside the Hotel. The continental breakfast was very good but could have offered fruit.",Best hotel in New Carrollton,A verified traveler
3,"To noisey, other guest were to loud kids running up and down hallways. After coming back to room from being out all day room smelt like weed, coming from room next door. Room above the bathroom when guest would take showers you can hear the water dropping on our ceiling causing a large water stain on ceiling. To expensive for that stay with all problems.",poor,CHRISTINA
3,"Not only did the shower for my room not have hot water (so they gave me another room but still it was inconvenient when I was rushing to catch a train), but the new room they assigned me to had extremely hot water running in the toilet! (I could tell by the steam and intense heat coming from the toilet after flushing). The hotel definitely has been very well refurbished and the condition of everything is of high quality, EXCEPT that it doesn't seem they've worked out all of their plumbing details yet.",Hot water problems,A verified traveler
4,"Hotel was worth the price. Some false advertising, like complimentary bottled water and newspaper. Front desk can use a little customer relations training.",Adequate,A verified traveler
4,"Nice, clean rooms, safe - ( they had a night guard on every floor ), friendly helpful staff, good service, efficient shuttle to metro station. The surrounding neighborhood was OK, but not an area you'd want to spend time in. The commute to DC via car and metro was not bad, but a bit longer than I would have liked. The hotel was right off the exit.","Metro Points Hotel - New Carollton, MD",A verified traveler
3,The hotel was just okay. They are under construction and the location has quite a bit of road noise. The room I was in had and older bed and the bathroom could have used some updating. One good thing was the bathroom was clean.,Modestly priced hotel,Bob
2,"Very tired hotel. Floors were cement hard, covered with a thin rug - no pad underneath.",Disappointing,Mary Ellen
3,"My experience was good, the staff was helpful, professional, and happy to help. The hotel is old though, the hotel has done a nice job on keeping it up but the rooms really show their age.","Nice Hotel, Good Price",A verified traveler
2,The internet was broke for one night The staff were not helpful and almost rude The toilet also borke Totally not good experience,Not bad hotel,A verified traveler
4,"After arriving at the train stop having taken the train from the Baltimore airport, I called the hotel for the shuttle to pick me up. There was no signage for where the pickup was to meet the shuttle. Unfortunately, I didn't listen carefully to the description of where the pick up would be, so I assumed it was on the opposite side of the train tracks, and I missed it. Moral of the story: don't assume you know where the shuttle bus will pick you up. After that, The shuttle worked very well. In the room, the bathroom smelled funky and the air conditioning unit was noisy. The breakfast was very good, and the staff was friendly.",Issue with Shuttle to Hotel,A verified traveler
5,The hotel was clean and the imenities met my needs.,good hotel will stay again at property,A verified traveler
4,"Good breakfast, clean rooms. Potentially a dodgy neighborhood",Excellent choice,Geir
2,no hubo agua caliente ninguna de las 3 noches que nos hospedamos. Nos quejamos reiteradamente con el gerente y no brindo ninguna solucion.,no recomendable,Flavio
4,This was in a good location not far from DC. Staff was extremely friendly and efficient. Inside of hotel was nice and breakfast was great.,Awesome place to relax while on vacation in DC,Marisa
4,"It seems like the hotel is still undergoing renovations and that everything is not quite finished yet. However, I think it will be nice once finished. They do have more modern furnishings in the room like plasma tv, and computer hookups.",Renovations,A verified traveler
4,El hotel estuvo muy bien.La habitacion espaciosa y muy limpia. Tienen servicio de shuttle que te deja en la estacion de metro de new carrollton.,Buen hotel a un excelente precio,Oscar Javier
1,"This place is a dump. The rooms are not clean. The beds are smaller than a normal double bed. The sheets and blankets have cigarette burns in them. The mattress in my room had been torn open with the springs exposed. The rooms all have terrible perfume smell. Only a few channels on the TV work, some don't have sound. The ice machine was full of mold. The overall area that the hotel is in a bad place. When the police are constantly outside in the parking lot it's a sign not to stay there.",Terrible,A verified traveler
2,"The lobby was very nice, but that was about it. the room was not at all what you would expect from the description. I had to deodorize the room due to a strange odor, it wasn't horrible but unpleasant. The bed was not comfortable, but was semi-clean other than a well worn sheet. The AC did work very well and the the TV was a recent upgrade, too bad the hotel only had 5 channels to choose from. Overall, I was disappointed with the room and I am thankful I only stayed a single night. I would not stay there again and probably would not stay in a hotel in the surrounding area either.",Not that great,A verified traveler
5,"The staff was very professional and helpful. The room's are very modern and clean. I was very please with the complimentary continental breakfast of eggs, fruit orange juice french toast and waffles and coffee. I would highly recommend this establishment.",Very nice experience,Fran
2,"In addition to having to ask to be moved three times after seeing the initial condition of the room I was assigned (something I have never done in nearly 100 hotels I have stayed at), they carpet was so dirty I refused to take off my socks, the nightstand had a sticky substance on the surface and in the drawers, the furniture was old, worn and dirty, the staff was not terribly helpful and the neighborhood is in an economically depressed area and I did not feel completely safe at night being a single woman travelling alone. There are multiple signs in the parking lot warning that the hotel is not responsible for any damage or theft and I was worried about my car being broken into. Only pros- just off the highway and one of the nicest hotel gyms I've ever seen. Even so, I will NEVER stay here again! If I hadn't already paid in advance through hotels.com, I would have left immediately.",Do not stay here,A verified traveler
1,The worst experience in my life please never go close to tis hotel ughhhhh nasty rooms smells bad,Nasty,A verified traveler
2,"If I knew how far away and the sketchy neighborhood this hotel was, I never would have stayed there. There is nothing but fast food in the area and walking after dark is questionable. The room smelled of cleaning chemicals, the wireless service was weak, and maintenance did not come when called. No hairdryer - had to call the desk for one. Toilet paper holder falling off wall. They did a good job making this hotel look good in the pictures, but it was run-down. The van did come when they said it would, but be prepared to wait a long half-hour if you miss it.",Metro Points Washington DC,A verified traveler
5,"It was wondering, I had a great time, food was great",Nice hotel,A verified traveler
5,Everybody from the front desk to those that cleaned the room did a fantastic job of making our stay very enjoyable. Thanks to all of them.,"Great value, great staff.",A verified traveler
3,Good hotel for the price. Good rooms with nice views-unsafe location that's why there is a shuttle from the hotel to the 15 minute walk subway station. Very Very basic and boring breakfast (eggs-potatoes-waffle-tea-coffee).,The rooms are very clean but the area is not safe,A verified traveler
5,Overall very excellent. No negative all positive. I think for the price you can't go wrong. Also it was a quiet atmosphere.,Good location to DC,A verified traveler
5,"Me parecio un excelente hotel, a pesar de estar lejos de Washington es muy facil llegar alli, el shuttle te lleva a la estacion del tren y en 20 minutos estas en el centro de Washington, el personal es muy amable y aunque no todos hablan ingles hacen lo posible por entender y hacerse entender. El senor del shuttle habla espanol y es muy amable. El desayuno es agradable y variado. En general es un hotel recomendado para pasar unos dias, descansar y visitar la ciudad.",excelente!,Jimena
2,Great location Close to where I needed to do business. Service so-so and hotel barely accerptable. I needed hotel accomodations for 3 weeks. If the Metro had been acceptable I would have stayed the entire time. Instead I chose to stay at another hotel in GreenBelt (Holiday Inn) one exit away. Just as great a location and much better service and accomodations. Price was about the same.,Location Location Location,Sandra
3,"First on all Sam the shuttle driver was great!!!!! I can not say enough about him. To get to the hotel, you must call for the shuttle to guarantee they will arrive at their schedule times or take a taxi which should cost you 5. We were burned upon arrival with a 10 fee while he stayed on his mobile phone. Turns out the hotel is a quick 3 to 4 minute ride. The hotel is definitely too far to walk and neighborhood between metro and hotel is a bit sketchy with the apartments but the hotel is in a descant and quiet area. The check in staff did not seem too friendly nor helpful when asked about surrounding area. Once we got to know Sam, everything became better. He made sure we got got to metro station which is very convenient on time and inquired when we would return. He was there waiting!!!! Hotel is doing some remodeling but does not effect your stay. Thanks again Sam!!!!!",Good stay,A verified traveler
5,Metro Points Hotel provides wonderful service for a very reasonable price. They even offer a convenient shuttle service to and from the nearest metro station at no extra charge. Every staff member was helpful and pleasant.,Great hotel near D.C.,A verified traveler
2,"The hotel was clean, and in good repair for the most part. The internet was sketchy, and did not work for the first night. The availability of wireless being the reason I choose this hotel, this was quite bothersome. It is kind of a ride to DC, though not terrible. The shuttle service picking us up from the train was late despite numerous calls. Some of the customer service was better than others, just depends who you talk to. The surrounding area leaves something to be desired. In the end, it was not terrible, but it was not great either.",Mixed,A verified traveler
5,Booked a room last min under promotion. Came with free breakfast. Nice hotel.,Great stay. Great value,A verified traveler
